player,latest_team,position,total_minutes,impact90,impact90_lo,impact90_hi,rapm_xg,rapm_xg_lo,rapm_xg_hi,finishing_per90,shots,rapm_goals,rapm_goals_lo,rapm_goals_hi,naive_gd90,naive_xgd90
Mateus Mané,Wolverhampton Wanderers,MID,1800,-0.0257,-0.1238,0.0742,-0.0301,-0.1283,0.0697,0.0044,41.0,-0.0015,-0.086,0.0716,-0.0999,-0.1073
Ben Godfrey,Ipswich,DEF,1305,-0.0262,-0.1235,0.06,-0.0237,-0.1209,0.0625,-0.0025,15.0,-0.0628,-0.1781,0.0476,-0.4325,0.0168
Habib Diarra,Sunderland,MID,1427,-0.0268,-0.1106,0.0599,-0.0243,-0.108,0.0625,-0.0026,26.0,0.0239,-0.0697,0.1098,0.0515,0.1132
Dean Henderson,Crystal Palace,GK,8439,-0.0274,-0.0906,0.0515,-0.0274,-0.0906,0.0515,-0.0,1.0,-0.0117,-0.0774,0.0589,0.2879,0.2064
Marcus Edwards,Burnley,MID,1062,-0.0274,-0.1185,0.0707,-0.0239,-0.115,0.0742,-0.0035,23.0,0.0651,-0.015,0.1432,0.8409,-0.0295
Callum Hudson-Odoi,Nottingham Forest,FWD,5955,-0.0278,-0.1613,0.0924,-0.044,-0.1774,0.0762,0.0162,105.0,-0.013,-0.1542,0.1331,0.1846,0.005
Charlie Taylor,Southampton,DEF,2700,-0.0279,-0.1702,0.0871,-0.029,-0.1713,0.0861,0.0011,10.0,-0.0334,-0.1396,0.0594,0.4087,0.4732
Diogo Jota,Liverpool,FWD,2368,-0.0282,-0.161,0.1135,-0.0255,-0.1584,0.1161,-0.0027,92.0,0.1145,-0.0117,0.2303,0.6458,0.2955
Kyle Walker,Burnley,DEF,6893,-0.0285,-0.1357,0.0753,-0.0277,-0.1349,0.0761,-0.0008,25.0,-0.0859,-0.1957,0.0145,-0.1814,-0.2077
Brajan Gruda,Brighton,FWD,1414,-0.0285,-0.1519,0.1105,-0.0267,-0.1501,0.1123,-0.0018,27.0,-0.003,-0.1048,0.1212,0.087,-0.3339
Alexander Isak,Liverpool,FWD,5869,-0.0295,-0.1692,0.0997,-0.0281,-0.1678,0.1011,-0.0014,194.0,-0.0026,-0.1338,0.1357,0.1629,0.0655
Sávio,Manchester City,MID,2614,-0.0301,-0.1544,0.0807,-0.0117,-0.136,0.0991,-0.0185,74.0,-0.0929,-0.2134,0.0343,-0.8472,-0.3444
Leny Yoro,Manchester United,DEF,2907,-0.0303,-0.1374,0.0657,-0.0294,-0.1365,0.0666,-0.0009,14.0,-0.1634,-0.2521,-0.0461,-0.4846,0.2636
Taylor Harwood-Bellis,Southampton,DEF,2856,-0.0304,-0.1657,0.072,-0.0294,-0.1648,0.0729,-0.001,20.0,-0.0783,-0.1606,0.0046,0.8662,0.642
Ben Brereton Díaz,Southampton,FWD,1583,-0.0306,-0.1717,0.1023,-0.0271,-0.1682,0.1058,-0.0035,46.0,-0.0639,-0.177,0.0571,0.1357,0.5435
Christopher Nkunku,Chelsea,FWD,1309,-0.0306,-0.1372,0.0879,-0.0272,-0.1338,0.0913,-0.0034,41.0,-0.1199,-0.2276,0.0027,-0.6451,-0.0231
Lewis Hall,Newcastle United,DEF,5148,-0.0314,-0.1691,0.0961,-0.031,-0.1687,0.0965,-0.0004,47.0,0.0312,-0.0955,0.1753,0.0033,-0.2193
Jorrel Hato,Chelsea,DEF,1140,-0.0315,-0.1987,0.1109,-0.0313,-0.1985,0.111,-0.0001,4.0,-0.1594,-0.2801,-0.0288,-1.555,-0.6202
Gonçalo Guedes,Wolverhampton Wanderers,MID,979,-0.0332,-0.1286,0.054,-0.0295,-0.1249,0.0577,-0.0037,27.0,-0.092,-0.1943,0.0107,-0.3333,0.1267
Joshua King,Fulham,MID,1434,-0.0336,-0.1359,0.0645,-0.0273,-0.1296,0.0708,-0.0063,29.0,-0.0069,-0.0929,0.0851,0.0282,-0.1872
Wataru Endo,Liverpool,MID,2128,-0.0339,-0.2014,0.1085,-0.0344,-0.2019,0.1079,0.0005,11.0,0.0167,-0.086,0.1342,0.2887,0.1229
Benoit Badiashile Mukinayi,Chelsea,DEF,2155,-0.0356,-0.1706,0.1252,-0.0354,-0.1704,0.1253,-0.0002,6.0,-0.0659,-0.1905,0.0615,-0.4513,-0.1374
Luke Woolfenden,Ipswich,DEF,1180,-0.0356,-0.1258,0.045,-0.0356,-0.1258,0.045,-0.0,1.0,0.0238,-0.0641,0.0984,-0.0293,-0.4285
Jordan Clark,Luton,MID,1335,-0.0356,-0.1958,0.093,-0.0358,-0.196,0.0929,0.0002,17.0,-0.131,-0.2374,-0.0093,-0.7949,0.3171
Noussair Mazraoui,Manchester United,DEF,3893,-0.0362,-0.1708,0.0897,-0.0354,-0.1699,0.0906,-0.0008,18.0,-0.1011,-0.2099,0.0076,-0.5568,-0.1815
Samuel Chukwueze,Fulham,FWD,1064,-0.0367,-0.1346,0.0887,-0.0388,-0.1367,0.0866,0.0021,25.0,-0.0147,-0.1409,0.1099,-0.1858,-0.1289
Tommy Doyle,Wolverhampton Wanderers,MID,1627,-0.037,-0.1417,0.0685,-0.0341,-0.1388,0.0714,-0.0029,23.0,-0.0155,-0.1089,0.0877,0.142,0.0605
Craig Dawson,Wolverhampton Wanderers,DEF,3195,-0.0372,-0.1359,0.0687,-0.0365,-0.1353,0.0693,-0.0006,21.0,-0.034,-0.1381,0.0649,0.3228,0.09
Kurt Zouma,West Ham,DEF,2874,-0.0382,-0.1162,0.0433,-0.0385,-0.1165,0.043,0.0003,16.0,0.007,-0.0927,0.0974,0.1574,-0.1341
Yasin Ayari,Brighton,MID,3923,-0.0382,-0.1581,0.0889,-0.0399,-0.1598,0.0873,0.0017,69.0,0.0158,-0.1107,0.1417,0.2486,-0.0425
Wilson Odobert,Tottenham,FWD,3971,-0.0386,-0.149,0.0636,-0.0305,-0.1408,0.0718,-0.0082,83.0,-0.1038,-0.2245,0.0242,-0.2877,0.0226
Anthony Elanga,Newcastle United,FWD,6312,-0.0387,-0.1601,0.078,-0.0335,-0.1549,0.0833,-0.0053,115.0,-0.0395,-0.1856,0.092,-0.0244,0.0413
Abduqodir Khusanov,Manchester City,DEF,1939,-0.0396,-0.1437,0.0647,-0.0391,-0.1433,0.0652,-0.0004,8.0,-0.012,-0.1053,0.0847,-0.7292,-0.5396
Jonny Evans,Manchester United,DEF,1717,-0.0399,-0.1402,0.0756,-0.0398,-0.1402,0.0756,-0.0001,3.0,0.0638,-0.0399,0.1757,0.1679,-0.488
Jhon Arias,Wolverhampton Wanderers,FWD,1148,-0.0401,-0.1458,0.0592,-0.0371,-0.1428,0.0621,-0.003,16.0,-0.0157,-0.0979,0.0659,-0.1872,0.0802
Sepp van den Berg,Brentford,DEF,5404,-0.0403,-0.1591,0.0939,-0.036,-0.1548,0.0982,-0.0043,43.0,0.0159,-0.0943,0.1362,0.1894,0.1198
Jan Bednarek,Southampton,DEF,2558,-0.0405,-0.1608,0.063,-0.0406,-0.1609,0.0629,0.0001,5.0,-0.0725,-0.1714,0.0154,0.8902,0.9532
Benjamin Sesko,Manchester United,FWD,1651,-0.041,-0.1264,0.0631,-0.0369,-0.1224,0.0672,-0.0041,61.0,0.0122,-0.0742,0.1002,0.3063,0.2314
James Milner,Brighton,MID,1747,-0.0411,-0.1878,0.1024,-0.0405,-0.1871,0.1031,-0.0006,15.0,0.0226,-0.1176,0.167,0.1851,0.1234
Omar Alderete,Sunderland,DEF,2836,-0.0416,-0.139,0.0634,-0.0408,-0.1383,0.0641,-0.0008,24.0,-0.0094,-0.0945,0.0733,-0.8999,-0.2686
Illia Zabarnyi,Bournemouth,DEF,6494,-0.042,-0.1293,0.055,-0.0414,-0.1287,0.0556,-0.0006,20.0,0.0237,-0.0576,0.107,-0.1818,-0.1082
Tyler Adams,Bournemouth,MID,3907,-0.0424,-0.1699,0.0904,-0.0422,-0.1697,0.0906,-0.0002,19.0,0.0998,-0.0195,0.2211,0.4392,0.1009
Neal Maupay,Brentford,FWD,1396,-0.0425,-0.141,0.0648,-0.0397,-0.1381,0.0677,-0.0029,42.0,-0.1396,-0.2473,-0.021,-0.8841,-0.1506
Willian,Fulham,FWD,2335,-0.0428,-0.148,0.0624,-0.0392,-0.1443,0.066,-0.0037,52.0,0.031,-0.0645,0.1289,0.4111,0.0057
Levi Colwill,Chelsea,DEF,5207,-0.0433,-0.1543,0.0791,-0.0432,-0.1542,0.0792,-0.0001,28.0,-0.0185,-0.1399,0.1011,-0.0928,-0.1572
Nordi Mukiele,Sunderland,DEF,2817,-0.0437,-0.1091,0.0189,-0.044,-0.1093,0.0187,0.0003,26.0,0.0356,-0.041,0.1081,-0.1917,-0.6152
Alejandro Jiménez,Bournemouth,DEF,2364,-0.044,-0.1532,0.0558,-0.0437,-0.1528,0.0562,-0.0003,21.0,-0.0002,-0.0886,0.0858,0.0649,-0.1308
Nélson Semedo,Wolverhampton Wanderers,MID,6062,-0.0442,-0.1457,0.0735,-0.042,-0.1436,0.0757,-0.0022,35.0,0.0614,-0.0466,0.1452,0.9174,0.268
Jørgen Strand Larsen,Crystal Palace,FWD,5005,-0.0445,-0.1487,0.0788,-0.0442,-0.1484,0.0791,-0.0003,98.0,-0.1139,-0.2331,0.0124,-0.1824,0.118
Thiago Silva,Chelsea,DEF,2551,-0.0446,-0.1499,0.0696,-0.0467,-0.152,0.0674,0.0022,14.0,0.0249,-0.0915,0.1468,0.1348,-0.0338
Jaydee Canvot,Crystal Palace,DEF,1346,-0.0452,-0.1386,0.0342,-0.0446,-0.138,0.0348,-0.0006,7.0,-0.0894,-0.1804,0.0057,-0.6586,-0.3932
Jack Harrison,Leeds,FWD,4597,-0.0454,-0.1678,0.0797,-0.0384,-0.1607,0.0868,-0.007,69.0,-0.0311,-0.1665,0.0865,-0.1037,-0.1335
Lukas Nmecha,Leeds,FWD,1089,-0.0456,-0.1392,0.0667,-0.0413,-0.1349,0.071,-0.0043,30.0,-0.012,-0.1055,0.0826,-0.4577,-0.4226
Stefan Ortega Moreno,Nottingham Forest,GK,2009,-0.0463,-0.1588,0.0811,-0.0463,-0.1588,0.0811,0.0,,-0.0239,-0.1057,0.0683,-0.4601,-0.5223
Yukinari Sugawara,Southampton,DEF,1546,-0.0464,-0.1767,0.0558,-0.0478,-0.1781,0.0544,0.0014,14.0,-0.1232,-0.2319,-0.0329,-0.4317,0.134
Andre Brooks,Sheffield United,MID,953,-0.047,-0.1531,0.0518,-0.0462,-0.1523,0.0526,-0.0008,9.0,-0.1238,-0.2289,-0.0242,-0.7732,-0.0005
Zanka,Brentford,DEF,1090,-0.0471,-0.1206,0.0361,-0.0476,-0.121,0.0356,0.0005,8.0,-0.0441,-0.1031,0.0046,-0.7675,-0.6924
Jack Robinson,Sheffield United,DEF,2906,-0.0474,-0.1417,0.0492,-0.047,-0.1414,0.0495,-0.0003,14.0,-0.0641,-0.1767,0.0383,1.2176,0.4717
Lucas Digne,Aston Villa,DEF,6720,-0.0478,-0.1598,0.072,-0.0458,-0.1578,0.074,-0.002,47.0,0.0454,-0.0691,0.1734,-0.1088,-0.4148
Vladimir Coufal,West Ham,DEF,4235,-0.048,-0.1552,0.0567,-0.0475,-0.1547,0.0572,-0.0005,15.0,-0.0523,-0.1585,0.0687,-0.1051,-0.1208
Djed Spence,Tottenham,DEF,3882,-0.0486,-0.1871,0.0849,-0.0481,-0.1865,0.0855,-0.0005,23.0,-0.0012,-0.1268,0.1082,-0.4128,-0.3662
Harry Toffolo,Nottingham Forest,DEF,1577,-0.0489,-0.1444,0.0441,-0.0486,-0.1441,0.0443,-0.0002,9.0,-0.0897,-0.1798,0.0017,-0.783,-0.0761
Radu Dragusin,Tottenham,DEF,2212,-0.0491,-0.1925,0.0811,-0.0487,-0.192,0.0816,-0.0004,10.0,-0.0715,-0.2182,0.055,-0.4989,-0.4608
Morgan Gibbs-White,Nottingham Forest,MID,9233,-0.0494,-0.1591,0.0591,-0.0563,-0.166,0.0522,0.0069,215.0,0.0349,-0.0571,0.1453,0.4568,-0.1543
Nicolás Domínguez,Nottingham Forest,MID,4757,-0.0495,-0.1796,0.095,-0.0466,-0.1767,0.0979,-0.0029,61.0,-0.0218,-0.1473,0.1119,-0.2754,-0.29
Carlos Alcaraz,Everton,MID,1446,-0.0499,-0.1557,0.0518,-0.0464,-0.1521,0.0553,-0.0035,47.0,0.036,-0.0712,0.1322,0.239,-0.2845
Moussa Diaby,Aston Villa,FWD,2243,-0.05,-0.1704,0.0791,-0.0489,-0.1693,0.0802,-0.0011,54.0,-0.06,-0.189,0.0748,-0.2198,-0.0723
Antonee Robinson,Fulham,DEF,7998,-0.0501,-0.1385,0.0522,-0.0485,-0.1369,0.0538,-0.0016,38.0,-0.0346,-0.1326,0.0551,-0.2615,-0.2106
Randal Kolo Muani,Tottenham,FWD,1716,-0.0506,-0.1696,0.0574,-0.0487,-0.1678,0.0592,-0.0018,20.0,-0.0676,-0.1687,0.0279,-0.66,-0.3984
Morato,Nottingham Forest,DEF,2207,-0.0509,-0.2036,0.0919,-0.0506,-0.2034,0.0921,-0.0002,7.0,-0.0551,-0.2015,0.1049,-0.1597,-0.151
Robin Roefs,Sunderland,GK,3180,-0.0515,-0.1075,0.0058,-0.0515,-0.1075,0.0058,0.0,,0.0206,-0.0465,0.0756,-0.5266,-0.8646
Boubakary Soumare,Leicester,MID,2201,-0.0517,-0.1619,0.061,-0.0515,-0.1617,0.0612,-0.0002,7.0,-0.0952,-0.1764,-0.0087,-0.5685,-0.0973
Ladislav Krejcí,Wolverhampton Wanderers,DEF,2399,-0.0524,-0.152,0.05,-0.0528,-0.1524,0.0496,0.0004,21.0,-0.0229,-0.1068,0.0663,-0.3682,-0.1967
Pierre-Emile Højbjerg,Tottenham,MID,1235,-0.0525,-0.1439,0.0653,-0.0499,-0.1413,0.0679,-0.0026,19.0,-0.0112,-0.1128,0.1105,-0.0296,-0.1286
Ben Davies,Tottenham,DEF,2554,-0.0527,-0.1554,0.0524,-0.0519,-0.1546,0.0532,-0.0009,19.0,-0.02,-0.156,0.1128,-0.1282,-0.2455
Xavi Simons,Tottenham,MID,1785,-0.0534,-0.1528,0.0497,-0.0508,-0.1502,0.0523,-0.0026,42.0,-0.0196,-0.1305,0.0839,-0.519,-0.4721
David Møller Wolfe,Wolverhampton Wanderers,MID,1067,-0.0537,-0.1384,0.0299,-0.0536,-0.1383,0.03,-0.0001,3.0,-0.0755,-0.1474,-0.0047,-0.9103,-0.28
Antonín Kinsky,Tottenham,GK,1181,-0.0539,-0.1383,0.0307,-0.0539,-0.1383,0.0307,0.0,,-0.0272,-0.0884,0.0444,-0.3735,-0.376
Caleb Okoli,Leicester,DEF,1124,-0.0548,-0.1267,0.0263,-0.0548,-0.1268,0.0263,0.0,4.0,0.0433,-0.0247,0.1113,0.7478,-0.2613
Mohammed Kudus,Tottenham,FWD,6734,-0.0549,-0.1907,0.0773,-0.0556,-0.1913,0.0766,0.0007,167.0,-0.0718,-0.2027,0.0557,-0.1509,-0.0749
Curtis Jones,Liverpool,MID,4816,-0.0553,-0.2069,0.0937,-0.0477,-0.1993,0.1013,-0.0076,75.0,-0.0566,-0.2009,0.065,-0.7195,-0.6616
Ivan Toney,Brentford,FWD,1459,-0.0562,-0.1354,0.0297,-0.0467,-0.1259,0.0392,-0.0095,51.0,-0.0359,-0.1033,0.0313,-0.7485,-0.7694
Ilia Gruev,Leeds,MID,1317,-0.0562,-0.1568,0.0407,-0.0557,-0.1562,0.0412,-0.0005,7.0,0.0143,-0.0748,0.0867,-0.3678,-0.7731
Carlos Soler,West Ham,MID,1432,-0.0573,-0.19,0.0626,-0.0545,-0.1872,0.0655,-0.0028,25.0,0.001,-0.107,0.095,-0.0153,-0.4749
Jeffrey Schlupp,Crystal Palace,FWD,1457,-0.0575,-0.136,0.0218,-0.0573,-0.1358,0.022,-0.0002,23.0,-0.0661,-0.16,0.0156,-0.6795,-0.5184
Nathan Aké,Manchester City,DEF,3433,-0.0588,-0.1923,0.104,-0.0571,-0.1907,0.1056,-0.0016,30.0,-0.0308,-0.1503,0.1043,-0.2293,-0.1376
Morgan Rogers,Aston Villa,FWD,7181,-0.0589,-0.2015,0.083,-0.0684,-0.2111,0.0735,0.0096,150.0,0.0297,-0.1025,0.1484,-0.1697,-0.3804
Matthijs de Ligt,Manchester United,DEF,3332,-0.0591,-0.1589,0.0514,-0.0581,-0.1579,0.0523,-0.001,29.0,-0.0066,-0.1117,0.0806,-0.2224,-0.1232
Timothy Castagne,Fulham,DEF,6155,-0.0592,-0.1529,0.0415,-0.0577,-0.1513,0.043,-0.0015,36.0,-0.0147,-0.1201,0.115,0.1066,0.0429
Lewis Miley,Newcastle United,MID,2996,-0.0604,-0.2065,0.0836,-0.0608,-0.2068,0.0833,0.0003,28.0,-0.0257,-0.1407,0.1031,-0.4722,-0.4966
Adam Wharton,Crystal Palace,MID,5291,-0.0612,-0.1785,0.0455,-0.0591,-0.1763,0.0476,-0.0021,55.0,0.0156,-0.117,0.132,0.1611,-0.0114
Oliver Scarles,West Ham,DEF,1322,-0.0618,-0.1721,0.0325,-0.0615,-0.1718,0.0328,-0.0003,6.0,-0.0576,-0.1532,0.0327,-0.2913,-0.1155
Harrison Reed,Fulham,MID,1473,-0.0623,-0.1741,0.0644,-0.0635,-0.1753,0.0633,0.0011,14.0,-0.0366,-0.143,0.0679,-0.2548,-0.481
Jens Cajuste,Ipswich,MID,2025,-0.0628,-0.1692,0.0475,-0.0633,-0.1697,0.0471,0.0004,12.0,0.0022,-0.1008,0.0997,0.4335,0.2294
James Justin,Leeds,DEF,4871,-0.0631,-0.1846,0.0536,-0.0622,-0.1838,0.0545,-0.0008,49.0,0.0159,-0.0877,0.1023,0.6279,0.2507
Joel Ward,Crystal Palace,DEF,2077,-0.0632,-0.1519,0.0258,-0.0626,-0.1513,0.0263,-0.0006,10.0,-0.0361,-0.1017,0.0284,-0.4224,-0.3957
Justin Devenny,Crystal Palace,MID,1252,-0.0632,-0.1925,0.0591,-0.0608,-0.19,0.0615,-0.0025,23.0,-0.0485,-0.1243,0.0297,-0.4636,-0.3803
Tariq Lamptey,Brighton,DEF,1808,-0.0643,-0.1754,0.0511,-0.0653,-0.1764,0.0501,0.001,12.0,-0.1772,-0.3325,-0.0197,-1.0286,-0.3026
Nikola Milenkovic,Nottingham Forest,DEF,6743,-0.0658,-0.1471,0.0441,-0.0657,-0.147,0.0442,-0.0001,44.0,0.0355,-0.0671,0.1465,0.455,-0.1677
Jordan Ayew,Leicester,FWD,4277,-0.0659,-0.1814,0.0267,-0.0668,-0.1823,0.0258,0.0009,81.0,-0.08,-0.2282,0.0619,-0.0959,0.0499
Amari'i Bell,Luton,DEF,1738,-0.0667,-0.169,0.0615,-0.0667,-0.169,0.0616,-0.0,2.0,-0.0164,-0.1048,0.0794,0.5876,0.3428
Josh Cullen,Burnley,MID,3628,-0.0669,-0.1477,0.0193,-0.0709,-0.1517,0.0153,0.004,27.0,-0.0165,-0.1037,0.0759,0.2578,0.076
Rayan,Bournemouth,FWD,1150,-0.0669,-0.1379,0.0095,-0.0744,-0.1454,0.002,0.0075,28.0,0.0655,0.0032,0.1178,0.587,-0.2592
Thiago,Brentford,FWD,3469,-0.0679,-0.1509,0.014,-0.0636,-0.1466,0.0182,-0.0042,86.0,-0.0125,-0.0937,0.0605,0.0388,-0.1249
Sergio Reguilón,Tottenham,DEF,1736,-0.0685,-0.1831,0.0573,-0.0664,-0.181,0.0594,-0.0021,19.0,-0.0881,-0.1936,0.0305,-0.476,-0.3395
Florian Wirtz,Liverpool,MID,2437,-0.0686,-0.1783,0.0357,-0.0637,-0.1734,0.0405,-0.0048,51.0,0.0158,-0.0758,0.1097,-0.8004,-1.0865
Lucas Bergvall,Tottenham,MID,2162,-0.0686,-0.1794,0.0634,-0.0673,-0.1781,0.0648,-0.0014,23.0,-0.0084,-0.1285,0.1165,-0.0856,-0.1272
Oliver Skipp,Leicester,MID,1781,-0.0691,-0.2077,0.0678,-0.0686,-0.2072,0.0683,-0.0005,9.0,-0.0431,-0.1758,0.0757,0.0516,-0.126
Romeo Lavia,Chelsea,MID,1232,-0.0693,-0.1954,0.0554,-0.0691,-0.1952,0.0556,-0.0002,5.0,-0.0987,-0.2212,0.0205,-0.9031,-0.8197
Odsonne Edouard,Crystal Palace,FWD,1681,-0.0694,-0.1712,0.026,-0.0659,-0.1677,0.0295,-0.0035,56.0,-0.1492,-0.2693,-0.0226,-0.8088,-0.2585
Valentino Livramento,Newcastle United,DEF,5490,-0.0695,-0.2173,0.098,-0.0694,-0.2172,0.0982,-0.0001,13.0,0.0178,-0.1392,0.1472,0.1644,-0.0783
Sean Longstaff,Leeds,MID,4542,-0.0695,-0.208,0.0877,-0.0685,-0.2069,0.0888,-0.0011,63.0,-0.0354,-0.1703,0.1004,0.0593,-0.0086
Joe Willock,Newcastle United,MID,2464,-0.0701,-0.2112,0.0674,-0.0636,-0.2047,0.074,-0.0066,42.0,-0.0726,-0.2074,0.0662,-0.5757,-0.4757
Tim Ream,Fulham,DEF,1526,-0.0715,-0.1651,0.023,-0.0715,-0.1651,0.023,0.0,1.0,-0.0749,-0.1463,0.0059,-0.313,-0.4362
James Trafford,Manchester City,GK,2902,-0.0724,-0.1495,0.0098,-0.0724,-0.1495,0.0098,0.0,,-0.1563,-0.251,-0.0498,-0.5289,0.044
Orel Mangala,Everton,MID,2869,-0.0736,-0.1845,0.0252,-0.0742,-0.1851,0.0246,0.0006,26.0,-0.0466,-0.1576,0.056,-0.3654,-0.1809
